,report_page_range,f.audit_fee_page,f.matched_pattern,url
751,"[(96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0507/2020050700459.pdf
754,"[(59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0506/2020050601109.pdf
767,"[(137,)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042903925.pdf
769,"[(36, 37, 38, 39, 40, 41, 42, 43, 44, 45)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042903533.pdf
771,"[(28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40)]",[],[],https://www1.hkexnews.hk/listedco/listconews/gem/2020/0429/2020042903403.pdf
773,"[(32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042903253.pdf
779,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042902613.pdf
780,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042902583.pdf
781,"[(34, 35, 36, 37, 38, 39, 40, 41, 42, 43)]",[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042902537.pdf
782,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042902438.pdf
785,[],[],[],https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0429/2020042902328.pdf
